epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,4663.23,0.59484,0.6443,0.94571,0.35382,0.33237,0.30322,0.26803,0.81472,2.49619,1.08282,7.72356e-05,7.72356e-05,7.72356e-05
53,4752.52,0.60014,0.66347,0.94467,0.42296,0.25857,0.275,0.23395,0.82821,2.42861,1.10054,7.56912e-05,7.56912e-05,7.56912e-05
54,4842.24,0.59113,0.63556,0.94778,0.31697,0.32966,0.26504,0.22154,0.83437,2.54045,1.0942,7.41468e-05,7.41468e-05,7.41468e-05
55,4931.84,0.57704,0.62455,0.93909,0.33574,0.304,0.30518,0.26048,0.77787,2.4694,1.0614,7.26024e-05,7.26024e-05,7.26024e-05
56,5021.01,0.58253,0.63959,0.93313,0.26488,0.35519,0.29469,0.24985,0.79329,2.52214,1.06532,7.1058e-05,7.1058e-05,7.1058e-05
57,5110.61,0.5827,0.61484,0.92985,0.31277,0.34234,0.26952,0.22017,0.79372,2.53699,1.08051,6.95136e-05,6.95136e-05,6.95136e-05
58,5200.24,0.57745,0.6026,0.9433,0.55439,0.25344,0.28726,0.24553,0.82178,2.55796,1.08141,6.79692e-05,6.79692e-05,6.79692e-05
59,5289.82,0.5735,0.57981,0.92395,0.41753,0.24359,0.27352,0.23412,0.81343,2.53763,1.09889,6.64248e-05,6.64248e-05,6.64248e-05
60,5379.83,0.56756,0.57448,0.92907,0.30107,0.31225,0.28126,0.24187,0.81651,2.58869,1.06483,6.48804e-05,6.48804e-05,6.48804e-05
61,5469.53,0.56291,0.57279,0.92847,0.29579,0.32178,0.27041,0.22616,0.83315,2.53643,1.08795,6.3336e-05,6.3336e-05,6.3336e-05
62,5558.55,0.55901,0.55613,0.91336,0.48096,0.2611,0.28109,0.24035,0.81893,2.61691,1.0797,6.17916e-05,6.17916e-05,6.17916e-05
63,5647.73,0.55604,0.55066,0.92019,0.40107,0.25826,0.26892,0.23271,0.82484,2.57175,1.08239,6.02472e-05,6.02472e-05,6.02472e-05
64,5736.91,0.56848,0.56473,0.92701,0.40031,0.22819,0.27791,0.24077,0.84844,2.54625,1.11692,5.87028e-05,5.87028e-05,5.87028e-05
65,5826.36,0.54406,0.54436,0.92618,0.30055,0.30257,0.26798,0.22937,0.85492,2.61603,1.11579,5.71584e-05,5.71584e-05,5.71584e-05
66,5915.01,0.54168,0.53398,0.91359,0.44463,0.27205,0.28373,0.24332,0.8151,2.4712,1.10209,5.5614e-05,5.5614e-05,5.5614e-05
67,6004.37,0.56148,0.5421,0.92199,0.41822,0.33367,0.28506,0.24597,0.81345,2.48316,1.0641,5.40696e-05,5.40696e-05,5.40696e-05
68,6094.18,0.54777,0.51665,0.91291,0.46329,0.26388,0.27124,0.2311,0.82638,2.55305,1.08265,5.25252e-05,5.25252e-05,5.25252e-05
69,6183.72,0.53549,0.51152,0.91189,0.41074,0.26903,0.27737,0.23671,0.80397,2.5456,1.0932,5.09808e-05,5.09808e-05,5.09808e-05
70,6266.39,0.54427,0.50876,0.92383,0.40728,0.29574,0.29004,0.24797,0.81568,2.50622,1.08396,4.94364e-05,4.94364e-05,4.94364e-05
71,6355.02,0.52817,0.48964,0.91078,0.39601,0.28972,0.28685,0.24398,0.80728,2.49455,1.08362,4.7892e-05,4.7892e-05,4.7892e-05
72,6444.03,0.52811,0.48957,0.91006,0.34448,0.32378,0.31094,0.26943,0.80831,2.55689,1.08904,4.63476e-05,4.63476e-05,4.63476e-05
73,6533.66,0.53194,0.49732,0.91279,0.43776,0.32977,0.31324,0.2698,0.79506,2.47498,1.06889,4.48032e-05,4.48032e-05,4.48032e-05
74,6622.86,0.51087,0.48302,0.90572,0.31275,0.36056,0.30813,0.26897,0.80028,2.45722,1.06991,4.32588e-05,4.32588e-05,4.32588e-05
75,6712.06,0.52034,0.47656,0.9038,0.48378,0.28097,0.3064,0.26294,0.83093,2.46273,1.10276,4.17144e-05,4.17144e-05,4.17144e-05
76,6801.07,0.50634,0.46701,0.9128,0.39833,0.33702,0.324,0.28026,0.8364,2.50896,1.12489,4.017e-05,4.017e-05,4.017e-05
