epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2086.15,0.93525,2.18836,1.03232,0.40731,0.19857,0.18392,0.15156,1.01067,2.7508,1.07752,0.000139629,0.000139629,0.000139629
55,2124.82,0.91636,2.10957,1.02281,0.52385,0.15638,0.18051,0.15022,0.99166,2.76036,1.06923,0.00013932,0.00013932,0.00013932
56,2163.4,0.91682,2.13062,1.01732,0.36859,0.22313,0.19137,0.15715,0.99434,2.64043,1.05997,0.000139012,0.000139012,0.000139012
57,2201.64,0.92566,2.09285,1.02444,0.44604,0.16866,0.19498,0.16237,0.99071,2.7327,1.06677,0.000138703,0.000138703,0.000138703
58,2239.35,0.92837,2.06218,1.03754,0.55124,0.16061,0.19191,0.15966,0.98348,2.74197,1.06969,0.000138394,0.000138394,0.000138394
59,2278.26,0.93474,2.06264,1.02619,0.33413,0.23438,0.20246,0.17016,0.97981,2.73861,1.0651,0.000138085,0.000138085,0.000138085
60,2316.47,0.91676,2.01172,1.01972,0.51219,0.20951,0.20474,0.17144,0.95838,2.7005,1.06413,0.000137776,0.000137776,0.000137776
61,2355.01,0.91053,2.00261,1.02289,0.46579,0.20479,0.20389,0.16969,0.97075,2.66712,1.06691,0.000137467,0.000137467,0.000137467
62,2392.69,0.92086,1.96499,1.01499,0.36826,0.19798,0.19811,0.16545,0.99452,2.7303,1.08257,0.000137158,0.000137158,0.000137158
63,2431.65,0.93027,1.98555,1.01822,0.49752,0.17875,0.19612,0.16252,0.9672,2.66672,1.06796,0.000136849,0.000136849,0.000136849
64,2470.23,0.92798,1.96035,1.02405,0.48509,0.16544,0.18544,0.15372,0.96366,2.71484,1.08214,0.000136541,0.000136541,0.000136541
65,2508.7,0.87781,1.89768,1.01638,0.47729,0.18317,0.19534,0.15566,0.99164,2.72793,1.08764,0.000136232,0.000136232,0.000136232
66,2546.35,0.89563,1.89809,1.01506,0.46919,0.17594,0.19224,0.15969,1.00849,2.73171,1.107,0.000135923,0.000135923,0.000135923
67,2585.48,0.93114,1.92407,1.02176,0.43371,0.21172,0.18934,0.15299,0.98455,2.7858,1.08092,0.000135614,0.000135614,0.000135614
68,2623.3,0.92225,1.85461,1.0113,0.38895,0.21048,0.20743,0.17259,0.9841,2.73728,1.08069,0.000135305,0.000135305,0.000135305
69,2660.91,0.89058,1.84308,0.99877,0.38453,0.19369,0.19173,0.15781,0.97861,2.72413,1.06663,0.000134996,0.000134996,0.000134996
70,2699.79,0.91319,1.87555,1.01554,0.32293,0.22071,0.19172,0.16029,0.97211,2.70683,1.07956,0.000134687,0.000134687,0.000134687
71,2738.91,0.89979,1.82297,1.01274,0.41612,0.20177,0.20045,0.16796,0.99526,2.80688,1.08162,0.000134378,0.000134378,0.000134378
72,2776.92,0.88473,1.77167,1.00959,0.32597,0.2143,0.1991,0.16284,0.9809,2.67861,1.07189,0.00013407,0.00013407,0.00013407
73,2816.22,0.89574,1.77767,1.01078,0.30018,0.22752,0.19474,0.16654,1.00703,2.71856,1.09641,0.000133761,0.000133761,0.000133761
74,2855.99,0.88169,1.75691,1.00542,0.32858,0.2257,0.21318,0.17491,1.00606,2.6984,1.09017,0.000133452,0.000133452,0.000133452
75,2894.59,0.89533,1.75148,1.01474,0.42576,0.21179,0.2115,0.17967,1.00919,2.77958,1.10144,0.000133143,0.000133143,0.000133143
76,2932.47,0.89109,1.74157,1.01532,0.41059,0.18757,0.21226,0.1782,0.99994,2.62031,1.09314,0.000132834,0.000132834,0.000132834
77,2971.98,0.86441,1.69117,0.9967,0.3551,0.21025,0.20062,0.1685,1.00484,2.75217,1.08105,0.000132525,0.000132525,0.000132525
78,3010.41,0.90873,1.70128,1.00795,0.28782,0.20602,0.1819,0.14985,0.98188,2.82792,1.06831,0.000132216,0.000132216,0.000132216
79,3049.74,0.8602,1.67516,0.98692,0.39463,0.21649,0.20807,0.17261,0.99468,2.7006,1.08237,0.000131907,0.000131907,0.000131907
80,3089.69,0.88825,1.65606,1.00707,0.34191,0.23111,0.19246,0.15681,0.98052,2.75244,1.068,0.000131598,0.000131598,0.000131598
81,3128.64,0.86523,1.62937,0.99598,0.33972,0.19192,0.17409,0.14103,1.0214,2.74144,1.08976,0.00013129,0.00013129,0.00013129
82,3166.5,0.88001,1.62315,1.00409,0.31648,0.25149,0.21918,0.17639,1.00402,2.71943,1.08363,0.000130981,0.000130981,0.000130981
83,3204.47,0.85177,1.61676,0.99094,0.46374,0.16774,0.20637,0.17192,1.00163,2.7079,1.10075,0.000130672,0.000130672,0.000130672
84,3240.83,0.87037,1.61919,1.00043,0.47903,0.16866,0.18534,0.15398,0.99357,2.72985,1.0943,0.000130363,0.000130363,0.000130363
85,3276.79,0.85545,1.60028,0.99932,0.50753,0.14623,0.20818,0.17581,1.00215,2.72149,1.07356,0.000130054,0.000130054,0.000130054
86,3315,0.86282,1.61288,0.99425,0.3369,0.24207,0.22056,0.1805,0.9937,2.69823,1.07816,0.000129745,0.000129745,0.000129745
87,3354.69,0.85783,1.5812,1.00124,0.39287,0.20609,0.20677,0.17111,0.98875,2.69754,1.0747,0.000129436,0.000129436,0.000129436
88,3394.03,0.87143,1.54029,1.00354,0.40103,0.18808,0.19146,0.15718,1.0026,2.74749,1.08358,0.000129127,0.000129127,0.000129127
89,3432.97,0.8515,1.55231,0.99422,0.2535,0.26601,0.22523,0.18236,0.96317,2.73891,1.06199,0.000128819,0.000128819,0.000128819
90,3471.38,0.8788,1.56876,1.00796,0.33014,0.21671,0.19893,0.16617,0.97956,2.71858,1.06032,0.00012851,0.00012851,0.00012851
91,3509.06,0.86043,1.51435,0.99062,0.28216,0.28445,0.23258,0.1935,0.99017,2.67324,1.07835,0.000128201,0.000128201,0.000128201
92,3547.52,0.85164,1.47421,0.98959,0.37958,0.17294,0.20302,0.15753,1.0166,2.74128,1.09061,0.000127892,0.000127892,0.000127892
93,3584.94,0.84107,1.49896,0.98981,0.26606,0.2089,0.19124,0.15585,1.01547,2.71048,1.0911,0.000127583,0.000127583,0.000127583
94,3623.59,0.86993,1.48709,0.98335,0.505,0.20072,0.20422,0.16819,0.99244,2.75071,1.07662,0.000127274,0.000127274,0.000127274
95,3661.98,0.86718,1.46526,0.99124,0.30975,0.21266,0.1941,0.15738,1.01531,2.66853,1.09287,0.000126965,0.000126965,0.000126965
96,3701.4,0.87979,1.5235,0.99935,0.408,0.19402,0.21511,0.17584,1.01539,2.71561,1.10255,0.000126656,0.000126656,0.000126656
97,3740.27,0.85869,1.45117,0.9931,0.42396,0.17858,0.21061,0.17295,1.00981,2.69177,1.09626,0.000126348,0.000126348,0.000126348
98,3778.79,0.83208,1.44094,0.98236,0.45651,0.16141,0.19039,0.15444,1.0111,2.82746,1.09322,0.000126039,0.000126039,0.000126039
99,3818.44,0.83537,1.42971,0.98488,0.42179,0.19614,0.23318,0.19116,1.03182,2.74365,1.1211,0.00012573,0.00012573,0.00012573
100,3858.32,0.85487,1.42874,0.98435,0.51614,0.17401,0.21677,0.17417,0.99958,2.76261,1.09642,0.000125421,0.000125421,0.000125421
101,3896.78,0.84422,1.40667,0.98111,0.51907,0.18241,0.21879,0.1836,0.99978,2.72657,1.09427,0.000125112,0.000125112,0.000125112
102,3935.24,0.84438,1.41528,0.99084,0.47265,0.16673,0.20021,0.16736,1.00152,2.75981,1.08464,0.000124803,0.000124803,0.000124803
103,3974.51,0.83683,1.37914,0.9854,0.36059,0.19682,0.21379,0.176,1.02268,2.73671,1.09593,0.000124494,0.000124494,0.000124494
104,4013.31,0.82946,1.40153,0.97925,0.37518,0.1836,0.21139,0.17729,1.02689,2.74629,1.11833,0.000124185,0.000124185,0.000124185
105,4052.75,0.82374,1.34588,0.9859,0.42024,0.18034,0.1937,0.15516,1.00074,2.73345,1.11104,0.000123876,0.000123876,0.000123876
106,4091.9,0.82047,1.34175,0.98594,0.44075,0.17305,0.18885,0.15369,1.02057,2.73693,1.10834,0.000123568,0.000123568,0.000123568
107,4131.59,0.81623,1.33645,0.96906,0.28754,0.23403,0.20823,0.17401,0.98813,2.77324,1.0952,0.000123259,0.000123259,0.000123259
108,4170.41,0.84611,1.38181,0.9923,0.45152,0.16712,0.20254,0.16512,0.99701,2.76253,1.08546,0.00012295,0.00012295,0.00012295
109,4210.54,0.83015,1.33418,0.97495,0.42016,0.20287,0.20209,0.16876,1.01599,2.86428,1.09301,0.000122641,0.000122641,0.000122641
110,4248.99,0.83881,1.34053,0.98053,0.50123,0.16535,0.19964,0.16495,1.00749,2.85664,1.10069,0.000122332,0.000122332,0.000122332
111,4286.8,0.81706,1.30384,0.9706,0.33286,0.22296,0.20601,0.17185,1.00269,2.75016,1.09673,0.000122023,0.000122023,0.000122023
112,4325.27,0.82612,1.3402,0.9775,0.40445,0.21426,0.1954,0.16227,1.00936,2.75244,1.08425,0.000121714,0.000121714,0.000121714
113,4365.42,0.8131,1.30279,0.97931,0.42744,0.17633,0.1919,0.16229,1.02211,2.75084,1.09468,0.000121405,0.000121405,0.000121405
114,4405.02,0.80592,1.28434,0.96557,0.47258,0.17101,0.19929,0.16776,1.01814,2.78781,1.10763,0.000121097,0.000121097,0.000121097
115,4443.12,0.82268,1.28449,0.97082,0.44439,0.16571,0.18736,0.15645,1.01999,2.79952,1.08568,0.000120788,0.000120788,0.000120788
116,4481.45,0.81372,1.24952,0.97427,0.43519,0.17547,0.22687,0.19198,0.99746,2.77027,1.08621,0.000120479,0.000120479,0.000120479
117,4519.19,0.8427,1.28994,0.98478,0.2365,0.21672,0.17395,0.14082,1.00873,2.89299,1.08642,0.00012017,0.00012017,0.00012017
118,4558.64,0.82667,1.25708,0.98425,0.30794,0.23031,0.21182,0.17823,1.00972,2.72281,1.09563,0.000119861,0.000119861,0.000119861
119,4596.21,0.85663,1.29312,0.99137,0.41992,0.17838,0.2067,0.17659,1.01204,2.78228,1.10431,0.000119552,0.000119552,0.000119552
120,4635.07,0.80688,1.22003,0.98452,0.48122,0.17644,0.21369,0.17546,0.99448,2.75079,1.09578,0.000119243,0.000119243,0.000119243
121,4674.26,0.81246,1.23364,0.97175,0.36344,0.16515,0.18217,0.14694,0.99914,2.8182,1.08646,0.000118934,0.000118934,0.000118934
122,4713.27,0.80908,1.20374,0.96839,0.49167,0.16906,0.20614,0.17265,0.97211,2.74299,1.07,0.000118626,0.000118626,0.000118626
123,4751.44,0.80885,1.22204,0.97304,0.46341,0.18172,0.19186,0.15894,1.01882,2.83184,1.10014,0.000118317,0.000118317,0.000118317
124,4791.12,0.81889,1.22238,0.97355,0.46188,0.17916,0.1782,0.14672,1.0324,2.92595,1.11765,0.000118008,0.000118008,0.000118008
125,4830.17,0.80952,1.22845,0.97164,0.59131,0.17998,0.20552,0.17145,1.00003,2.81105,1.08492,0.000117699,0.000117699,0.000117699
126,4869.53,0.81014,1.20456,0.96116,0.37712,0.18285,0.20596,0.17473,1.00304,2.82783,1.09439,0.00011739,0.00011739,0.00011739
127,4910.38,0.8112,1.21105,0.96712,0.44114,0.18483,0.19057,0.15997,1.01468,2.85114,1.09669,0.000117081,0.000117081,0.000117081
128,4949.61,0.80799,1.19437,0.96086,0.46632,0.18839,0.20596,0.16636,1.0189,2.80314,1.09415,0.000116772,0.000116772,0.000116772
129,4988.22,0.79094,1.17229,0.96376,0.43502,0.19035,0.20108,0.16624,1.02003,2.87981,1.08731,0.000116463,0.000116463,0.000116463
130,5027.25,0.81798,1.22006,0.98251,0.43414,0.17653,0.19357,0.16431,1.00866,2.93119,1.0976,0.000116154,0.000116154,0.000116154
131,5067.06,0.81738,1.19946,0.98157,0.39518,0.1812,0.19738,0.1649,1.00175,2.83045,1.08666,0.000115846,0.000115846,0.000115846
132,5106.46,0.80324,1.16453,0.96953,0.31407,0.21006,0.18852,0.15978,0.99779,2.9209,1.07259,0.000115537,0.000115537,0.000115537
133,5145.98,0.81428,1.17692,0.96444,0.27419,0.2317,0.19334,0.16006,1.01302,2.89011,1.08292,0.000115228,0.000115228,0.000115228
134,5185.26,0.79159,1.12456,0.96417,0.37871,0.16774,0.21136,0.18002,1.00171,2.83585,1.08285,0.000114919,0.000114919,0.000114919
135,5224.48,0.80171,1.15034,0.97042,0.3955,0.17148,0.19249,0.16017,0.99271,2.83306,1.07785,0.00011461,0.00011461,0.00011461
136,5263.04,0.77591,1.11174,0.96205,0.34745,0.17403,0.18156,0.14823,1.02501,2.93249,1.09538,0.000114301,0.000114301,0.000114301
137,5300.95,0.83232,1.17552,0.97894,0.32807,0.21402,0.20004,0.16743,0.99624,2.92373,1.07602,0.000113992,0.000113992,0.000113992
138,5337.46,0.79242,1.13163,0.96394,0.24901,0.21218,0.1914,0.15807,1.007,2.87142,1.08147,0.000113683,0.000113683,0.000113683
139,5375.36,0.77663,1.07088,0.95751,0.31965,0.18951,0.1864,0.15852,1.00742,2.92994,1.09674,0.000113375,0.000113375,0.000113375
